stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159251.XSHE,CN,2025-07-24,万家国证港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159253.XSHE,CN,2025-12-08,博时中证银行ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159255.XSHE,CN,2025-08-04,易方达国证通用航空产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159256.XSHE,CN,2025-08-04,华夏创业板软件ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159257.XSHE,CN,2025-07-28,汇添富国证通用航空产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159258.XSHE,CN,2025-08-01,南方中证机器人ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159259.XSHE,CN,2025-08-28,易方达国证成长100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159260.XSHE,CN,2025-11-04,博时证券公司ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159261.XSHE,CN,2025-07-07,鹏华创业板新能源ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159262.XSHE,CN,2025-07-07,广发恒生港股通科技主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159263.XSHE,CN,2025-07-08,易方达国证价值100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159265.XSHE,CN,2025-07-02,鹏华国证港股通消费主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159266.XSHE,CN,2025-08-01,港股通央企红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159267.XSHE,CN,2025-08-01,华安国证航天航空行业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159268.XSHE,CN,2025-07-21,汇添富国证港股通消费主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159269.XSHE,CN,2025-07-10,南方中证港股通科技ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159270.XSHE,CN,2025-07-24,南方创业板中盘200ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159271.XSHE,CN,2025-08-11,鹏华恒生ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159272.XSHE,CN,2025-09-19,富国国证机器人产业ETF,ETF,2999-12-31 00:00:00,XSHE
