stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2025-01-02,159512.XSHE,CN,2023-07-25,广发中证全指汽车ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159513.XSHE,CN,2023-07-28,大成纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159515.XSHE,CN,2023-09-06,鹏扬中证国有企业红利ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159516.XSHE,CN,2023-07-27,国泰中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159517.XSHE,CN,2023-09-05,800增强ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159518.XSHE,CN,2023-11-15,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159519.XSHE,CN,2023-08-31,国泰中证香港内地国有企业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159520.XSHE,CN,2023-10-31,消费龙头ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159521.XSHE,CN,2023-09-07,平安国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159523.XSHE,CN,2023-09-19,华夏中证智选300成长创新策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159525.XSHE,CN,2024-05-20,富国中证红利低波动ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159526.XSHE,CN,2024-04-24,嘉实中证机器人ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159527.XSHE,CN,2024-02-01,广发中证云计算与大数据ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159528.XSHE,CN,2024-05-20,富国中证国有企业改革ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159529.XSHE,CN,2024-02-02,景顺长城标普消费精选ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159530.XSHE,CN,2024-01-18,易方达国证机器人产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159531.XSHE,CN,2023-09-18,南方中证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159532.XSHE,CN,2023-09-21,易方达中证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159533.XSHE,CN,2024-06-07,博时中证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159535.XSHE,CN,2023-09-22,嘉实中证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159536.XSHE,CN,2023-09-21,汇添富中证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159537.XSHE,CN,2023-10-10,国泰国证信息技术创新主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159538.XSHE,CN,2023-09-22,富国国证信息技术创新主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159539.XSHE,CN,2023-09-28,广发国证信创ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159540.XSHE,CN,2023-09-28,易方达国证信息技术创新主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159541.XSHE,CN,2023-10-31,万家创业板综合ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159542.XSHE,CN,2024-06-07,大成中证工程机械ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159543.XSHE,CN,2023-11-20,国证2000ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159545.XSHE,CN,2024-04-15,易方达恒生港股通高股息低波动ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159546.XSHE,CN,2023-10-20,国泰中证全指集成电路ETF,ETF,2999-12-31 00:00:00,XSHE
